Country Name,Men Gold,Men Silver,Men Bronze,Women Gold,Women Silver,Women Bronze,Mixed Gold,Mixed Silver,Mixed Bronze,Total Gold,Total Silver,Total Bronze,Total
 Australia ,19,21,26,38,25,23,2,0,1,59,46,50,155
 England ,31,24,23,18,27,21,1,1,2,50,52,46,148
 Canada ,7,8,15,15,20,17,0,1,1,22,29,33,84
 New Zealand ,12,8,5,5,4,10,0,0,0,17,12,15,44
 India ,8,5,10,5,5,6,0,1,0,13,11,16,40
 Nigeria ,0,3,5,9,5,8,0,0,0,9,8,13,30
 Scotland ,4,6,13,3,3,11,1,0,0,8,9,24,41
 South Africa ,3,5,4,4,3,7,0,0,0,7,8,11,26
 Malaysia ,3,2,2,2,3,2,1,0,0,6,5,4,15
 Jamaica ,1,1,1,5,3,1,0,0,0,6,4,2,12
 Wales ,3,2,7,2,1,6,0,2,0,5,5,13,23
 Kenya ,2,3,4,2,2,3,0,0,0,4,5,7,16
 Uganda ,3,0,0,0,0,2,0,0,0,3,0,2,5
 Northern Ireland ,1,3,2,1,2,2,0,0,0,2,5,4,11
 Cyprus ,2,1,5,0,2,1,0,0,0,2,3,6,11
 Trinidad and Tobago ,2,1,1,0,0,0,0,0,0,2,1,1,4
 Pakistan ,1,3,3,0,0,0,0,0,0,1,3,3,7
 Singapore ,0,3,0,1,0,0,0,0,1,1,3,1,5
 Samoa ,1,2,0,0,1,0,0,0,0,1,3,0,4
 Cameroon ,1,0,0,0,1,1,0,0,0,1,1,1,3
 Bermuda ,0,0,0,1,0,0,0,0,0,1,0,0,1
 British Virgin Islands ,1,0,0,0,0,0,0,0,0,1,0,0,1
 Grenada ,1,0,0,0,0,0,0,0,0,1,0,0,1
 The Bahamas ,1,0,0,0,0,0,0,0,0,1,0,0,1
 Fiji ,0,1,1,0,1,1,0,0,0,0,2,2,4
 Mauritius ,0,1,1,0,1,1,0,0,0,0,2,2,4
 Sri Lanka ,0,1,2,0,0,1,0,0,0,0,1,3,4
 United Republic of Tanzania ,0,1,2,0,0,0,0,0,0,0,1,2,3
 Guernsey ,0,0,1,0,1,0,0,0,0,0,1,1,2
 Barbados ,0,1,0,0,0,0,0,0,0,0,1,0,1
 Dominica ,0,0,0,0,1,0,0,0,0,0,1,0,1
 Papua New Guinea ,0,1,0,0,0,0,0,0,0,0,1,0,1
 St Lucia ,0,0,0,0,1,0,0,0,0,0,1,0,1
 The Gambia ,0,1,0,0,0,0,0,0,0,0,1,0,1
 Namibia ,0,0,2,0,0,2,0,0,0,0,0,4,4
 Ghana ,0,0,2,0,0,0,0,0,0,0,0,2,2
 Botswana ,0,0,0,0,0,1,0,0,0,0,0,1,1
 Malta ,0,0,0,0,0,1,0,0,0,0,0,1,1
 Mozambique ,0,0,0,0,0,1,0,0,0,0,0,1,1
 Nauru ,0,0,0,0,0,1,0,0,0,0,0,1,1
 Niue ,0,0,1,0,0,0,0,0,0,0,0,1,1
 Zambia ,0,0,1,0,0,0,0,0,0,0,0,1,1
Total,107,108,139,111,112,130,5,5,5,223,225,274,722
